	SubjectID1	SubjectID2	Group1	Group2	Distance
257	SRR7013996	SRR7013958	Crohn's disease	Crohn's disease	0.5952708731880666
258	SRR7013996	SRR7013959	Crohn's disease	Crohn's disease	0.5454015472012769
259	SRR7013996	SRR7013960	Crohn's disease	Crohn's disease	0.5441837606322788
260	SRR7013996	SRR7013961	Crohn's disease	Crohn's disease	0.49851091934903696
261	SRR7013996	SRR7013969	Crohn's disease	Crohn's disease	0.6588211062528024
262	SRR7013996	SRR7013970	Crohn's disease	Crohn's disease	0.5652656784801718
263	SRR7013996	SRR7013971	Crohn's disease	Crohn's disease	0.5848941313593783
264	SRR7013996	SRR7013972	Crohn's disease	Crohn's disease	0.6394794199231371
265	SRR7013996	SRR7013975	Crohn's disease	Crohn's disease	0.5942346318138754
266	SRR7013996	SRR7013976	Crohn's disease	Crohn's disease	0.5933327821741121
267	SRR7013996	SRR7013977	Crohn's disease	Crohn's disease	0.5303158244217251
268	SRR7013996	SRR7013985	Crohn's disease	Crohn's disease	0.6162729745950299
269	SRR7013996	SRR7013986	Crohn's disease	Crohn's disease	0.6050151481293087
270	SRR7013996	SRR7013990	Crohn's disease	Crohn's disease	0.6317328683794509
271	SRR7013996	SRR7013991	Crohn's disease	Crohn's disease	0.5581298382847821
272	SRR7013996	SRR7013992	Crohn's disease	Crohn's disease	0.5892842571938938
273	SRR7013996	SRR7013993	Crohn's disease	Crohn's disease	0.5277030235442823
274	SRR7013996	SRR7013994	Crohn's disease	Crohn's disease	0.5978052428674205
275	SRR7013996	SRR7013995	Crohn's disease	Crohn's disease	0.5664744727632961
276	SRR7013997	SRR7013953	Crohn's disease	Crohn's disease	0.595312519687953
277	SRR7013997	SRR7013954	Crohn's disease	Crohn's disease	0.48620947474166587
278	SRR7013997	SRR7013955	Crohn's disease	Crohn's disease	0.5458312799740702
279	SRR7013997	SRR7013956	Crohn's disease	Crohn's disease	0.5336997574037937
280	SRR7013997	SRR7013958	Crohn's disease	Crohn's disease	0.46341902541710567
281	SRR7013997	SRR7013959	Crohn's disease	Crohn's disease	0.5586874001421113
282	SRR7013997	SRR7013960	Crohn's disease	Crohn's disease	0.4575001645893752
283	SRR7013997	SRR7013961	Crohn's disease	Crohn's disease	0.5460883837355531
284	SRR7013997	SRR7013969	Crohn's disease	Crohn's disease	0.5715669430506408
285	SRR7013997	SRR7013970	Crohn's disease	Crohn's disease	0.5894888450144038
286	SRR7013997	SRR7013971	Crohn's disease	Crohn's disease	0.5075995535823141
287	SRR7013997	SRR7013972	Crohn's disease	Crohn's disease	0.47702211261606114
288	SRR7013997	SRR7013975	Crohn's disease	Crohn's disease	0.49578387521140255
289	SRR7013997	SRR7013976	Crohn's disease	Crohn's disease	0.4863236708687895
290	SRR7013997	SRR7013977	Crohn's disease	Crohn's disease	0.3993705435680083
291	SRR7013997	SRR7013985	Crohn's disease	Crohn's disease	0.5054478997388288
292	SRR7013997	SRR7013986	Crohn's disease	Crohn's disease	0.4569932897797904
293	SRR7013997	SRR7013990	Crohn's disease	Crohn's disease	0.4977356923620186
294	SRR7013997	SRR7013991	Crohn's disease	Crohn's disease	0.4406879097189865
295	SRR7013997	SRR7013992	Crohn's disease	Crohn's disease	0.5604194162735292
296	SRR7013997	SRR7013993	Crohn's disease	Crohn's disease	0.5599913459674357
297	SRR7013997	SRR7013994	Crohn's disease	Crohn's disease	0.551977879833497
298	SRR7013997	SRR7013995	Crohn's disease	Crohn's disease	0.6169335426205
299	SRR7013997	SRR7013996	Crohn's disease	Crohn's disease	0.5695286225777797
300	SRR7013998	SRR7013953	Crohn's disease	Crohn's disease	0.6051304014448595
301	SRR7013998	SRR7013954	Crohn's disease	Crohn's disease	0.49652793644218735
302	SRR7013998	SRR7013955	Crohn's disease	Crohn's disease	0.46842543219117444
303	SRR7013998	SRR7013956	Crohn's disease	Crohn's disease	0.5218893313310372
304	SRR7013998	SRR7013958	Crohn's disease	Crohn's disease	0.6180614859750639
305	SRR7013998	SRR7013959	Crohn's disease	Crohn's disease	0.5716031387244498
306	SRR7013998	SRR7013960	Crohn's disease	Crohn's disease	0.49172181186530955
307	SRR7013998	SRR7013961	Crohn's disease	Crohn's disease	0.5173145179591615
308	SRR7013998	SRR7013969	Crohn's disease	Crohn's disease	0.650785228803326
309	SRR7013998	SRR7013970	Crohn's disease	Crohn's disease	0.5602898381466803
310	SRR7013998	SRR7013971	Crohn's disease	Crohn's disease	0.5242398566657057
311	SRR7013998	SRR7013972	Crohn's disease	Crohn's disease	0.5678069873533993
312	SRR7013998	SRR7013975	Crohn's disease	Crohn's disease	0.5942561692162445
313	SRR7013998	SRR7013976	Crohn's disease	Crohn's disease	0.5836750068821883
314	SRR7013998	SRR7013977	Crohn's disease	Crohn's disease	0.5825563640692437
315	SRR7013998	SRR7013985	Crohn's disease	Crohn's disease	0.6031037895627654
316	SRR7013998	SRR7013986	Crohn's disease	Crohn's disease	0.5639685757750215
317	SRR7013998	SRR7013990	Crohn's disease	Crohn's disease	0.6055212771035988
318	SRR7013998	SRR7013991	Crohn's disease	Crohn's disease	0.4899294236814016
319	SRR7013998	SRR7013992	Crohn's disease	Crohn's disease	0.6067296510830499
320	SRR7013998	SRR7013993	Crohn's disease	Crohn's disease	0.6248975406158365
321	SRR7013998	SRR7013994	Crohn's disease	Crohn's disease	0.5603592898405936
322	SRR7013998	SRR7013995	Crohn's disease	Crohn's disease	0.5056061659283941
323	SRR7013998	SRR7013996	Crohn's disease	Crohn's disease	0.5414154146205071
324	SRR7013998	SRR7013997	Crohn's disease	Crohn's disease	0.603937304651766
325	SRR7013999	SRR7013953	Crohn's disease	Crohn's disease	0.5408643383907316
326	SRR7013999	SRR7013954	Crohn's disease	Crohn's disease	0.4255759132465036
327	SRR7013999	SRR7013955	Crohn's disease	Crohn's disease	0.4227164982282196
328	SRR7013999	SRR7013956	Crohn's disease	Crohn's disease	0.42290037430847954
329	SRR7013999	SRR7013958	Crohn's disease	Crohn's disease	0.5537023200075074
330	SRR7013999	SRR7013959	Crohn's disease	Crohn's disease	0.5993193225936237
331	SRR7013999	SRR7013960	Crohn's disease	Crohn's disease	0.43252059335008736
332	SRR7013999	SRR7013961	Crohn's disease	Crohn's disease	0.4419921158761429
333	SRR7013999	SRR7013969	Crohn's disease	Crohn's disease	0.6085489618753936
334	SRR7013999	SRR7013970	Crohn's disease	Crohn's disease	0.5753906702130875
335	SRR7013999	SRR7013971	Crohn's disease	Crohn's disease	0.4862696457187285
336	SRR7013999	SRR7013972	Crohn's disease	Crohn's disease	0.4728939259982934
337	SRR7013999	SRR7013975	Crohn's disease	Crohn's disease	0.5672977355896119
